clavy_id;titulo;editorial;fecha de publicación;lugar de publicación
61841;Peter Pan y Wendy;Juventud;1994;Barcelona
61842;Prosistas modernos;Instituto-Escuela, Junta para Ampliación de Estudios;1922;Madrid
61843;Cuentos de Grimm;Juventud;1990;Barcelona
61844;Pelayo González. Algunas de sus ideas, algunos de sus hechos, su muerte;Ramón Sopena;[1917?];Barcelona
61845;De Alfonso XIII a Lerroux pasando por Azaña (opiniones de un hombre de la calle);Ediciones Caballero Audaz;[1933];Madrid
61846;La cuchara de plata;Juventud;1994;Barcelona
61847;Pasión y muerte. Apocalipsis. (Novela);Ulises;[ca. 1930];Madrid
61848;Peter Pan y Wendy. La historia del niño que no quiso crecer;Juventud;1992;Barcelona
61849;Tántalo. Farsa;Signo;1935;Madrid
61850;Los trabajos de Urbano y Simona. Novela. (Continuación de Luna de miel, luna de hiel);Mundo Latino;1923;Madrid
61852;Tigre Juan. Novela;Pueyo;1926;Madrid
61854;Teatro;Ediciones de La Lectura;1924;Madrid
61856;Historia de Francia;Circulo de Lectores;[1973];[Barcelona]
61857;Historia de Inglaterra;Círculo de Lectores;[1973];[Barcelona]
61858;Identidad;[s.n.];[1934];Madrid
61860;Historia de Inglaterra;Círculo de Lectores;[1970];[Barcelona]
61861;Holy night. A miracle play in three scences;E. P. Dutton & co., inc.;1928;New York
61862;Circe y el poeta. Novela;Mundo Latino;1926?;Madrid
61863;Cuentos de Grimm;Juventud;1985;Barcelona
61864;Villavieja. Novela;Jaime Ratés Martín;1914;Madrid
61865;Bajo el signo de Artemisa. Novelas;Renacimiento;1924;Madrid
61866;Peter Pan y Wendy. La historia del niño que no quiso crecer;Juventud;1984;Barcelona
61867;Luna de miel, luna de hiel. Novela;Mundo Latino;1923;Madrid
61868;Doce cuentos de los Hermanos Grimm;Juventud;1981;Barcelona
61869;The fox's paw;E. P. Dutton;[c1924];New York,
61870;Prometheus. The fall of the house of Limón. Sunday sunlight. Poetic novels of Spanish life;E. P. Dutton;1920;New York
61874;Amado Nervo (estudio crítico);Ed. "España y América";[1917?];Cádiz
61876;El lirismo en la poesía francesa;Pueyo;[1923];Madrid
61877;La locura de Orlando;Teide;[1967];Barcelona
61878;El enigma biográfico de Tirso de Molina. Conferencia;Tip. de A. Fontana;1928;Madrid
61879;Scaramouche...;Molino;[1967];[Barcelona]
61880;Diego Sánchez de Badajoz. Estudio crítico, biográfico y bibliográfico;Tip. de la Revista de archivos;1915;Madrid
61881;Doce cuentos de los hermanos Grimm;Juventud;[1966];Hospitalet [Barcelona]
61882;Cuentos ingenuos;Renacimiento;1917;Madrid
61884;La bruta (héroes de ahora). Novela;Renacimiento;1913;Madrid
61885;Cuentos;Circulo de Lectores;[1966];[Barcelona]
61886;El médico rural. Novela;Renacimiento;1919;Madrid
61888;En la carrera (un buen chico estudiante en Madrid). Novela;Renacimiento;[1909];Madrid,
61889;Mamá. Madrigal. El pobrecito Juan;[Estella];1925;Madrid
61892;Canción de cuna. Comedia en dos actos y en prosa;R. Velasco, Imp.;1911;Madrid
61894;El diablo se rie (novelas);Renacimiento,;1916.;Madrid,
61895;Cuando las Cortes de Cádiz... Poema dramático en verso;Lib. de San Martín;[1934];Madrid
61896;El vestido a través de los tiempos;Teide;1969;Barcelona
61897;Abril melancólico (novelas);Renacimiento,;1916.;Madrid,
61899;El barrio de Santa Cruz (itinerario lírico);;1931];[Jerez?
61900;Entre la vida y el sueño. Retrato de una actriz. El pesador de almas;G.P.;[1969];Esplugas de Llobregat [Barcelona]
61902;En las orillas del Sar;Sucesores de Hernando;1909;Madrid
61906;El escarabajo sagrado;Molino;[1963;[Barcelona]
61907;Echegaray. El insigne polígrafo cuenta su vida luminosa, llena de aventuras geniales y de hazanas fuertes, ofreciendo al público el ejemplo de su existir glorioso;Imp. de Alrededor del Mundo;1912;Madrid
61909;Teatro de marionetas;Imp. "Alrededor del Mundo";[1923?];Madrid
61910;Historia de Polonia;Surco;[1963];Barcelona
61911;The mystery of the lost dauphin (Louis XVII);Funk & Wagnalls Co.;1906;New York and London
61913;Historia de Costa Rica durante la dominación española (1502-1821);Tip. de Manuel Ginés Hernández;1889;Madrid
61914;Santiago Rusiñol visto por su hija;[[Agustín Núñez], Juventud];[1963];Barcelona
61915;Genio de España. Exaltaciones a una resurrección nacional y del mundo;"La Gaceta Literaria";1934;Madrid
