clavy_id,"editorial","titulo","lugar de publicaci�n","fecha de publicaci�n"
60191,"V. H. Sanz Calleja","Cuentos de antaño y de hogaño",,
60192,"(Imp. Sáez Hnos.)","El corazón viajero",,
60193,"Libr. de los Sucesores de Hernando","Paraíso perdido. (Novela)",,
60194,"E. Domenech","Rebeldía",,
60195,"Bailly-Bailliere","Renglones cortos (ensayos literarios)",,
60196,"Administración de la Academia","El cielo alegre. Escenas y tipos andaluces",,
60197,"Lib. de Pueyo","La cópula. Novela de amor",,
60198,"F. Costa","La cizaña. Comedia en dos actos y en prosa",,
60199,"Libr. de Fernando Fe","Gente de tufos",,
60200,"(Tip. ""Rev. de Arch., Bibl. y Museos"")","De Calderón y de su obra. Conferencia perteneciente a la serie de las organizadas por el Ministerio de Instruccion Pública y Bellas Artes leída por su autora en el Ateneo de Madrid el día 29 de diciembre de 1914. Publícala El Universo",,
60201,"Compañia Iberoamericana de Publicaciones (CIAP)","Santa Isabel de Ceres. Novela",,
60202,"Biblioteca Hispania","El abolengo. María Victoria. Lo posible",,
60203,"Biblioteca Hispania","La cizaña. Aires de fuera. Porque sí",,
60204,"Renacimiento","La escuela de los sofistas. (Diálogos de apacible pasatiempo)",,
60205,"Renacimiento","La mujer que necesita amar. Novela",,
60206,"Edit. Estampa","Eva libertaria. Novela",,
60207,"V.H. Sanz Calleja","La imposible. Novela",,
60209,"Fernando Fé","Chulaperías. Colección de diálogos en verso",,
60211,"Biblioteca Hispania","Fantasmas. Comedia en dos actos y en prosa",,
60212,"Libr. y Casa Ed. Hernando","Las niñas de mis ojos",,
60213,"Imp. de Juan Pueyo","Menéndez Pelayo. Ex-voto de amor y de respeto que rinden ante la imagen de un coloso español dos patriotas",,
60214,"Compañía Ibero-Americana de Publicaciones (CIAP)","Antología poética",,
60215,"Sociedad de Autores Españoles","La musa. Idilio en tres actos y en prosa",,
60216,"Manuel Rosado","El patio andaluz. Cuadros de costumbres",,
60217,"Imp. de El Crédito Público","El gusano de luz. Novela andaluza",,
60218,"Mundo Latino","La estatua de carne. Novelas",,
60219,"Juan de Gasso","La reja. Novela andaluza",,
60221,"Biblioteca Nueva","Todos los amores. Novela",,
60222,"Libr. de M. Murillo","La pesca. Poema",,
60223,"Lib. de Pueyo","La fiesta de la sangre. Novela mogrebina",,
60224,"Libr. de Mariano Murillo","Un idilio y una elegía",,
60225,"Libr. de M. Murillo","Maruja. Poema",,
60226,"Renacimiento","Comedia sentimental",,
60227,"Renacimiento,","Los caballeros de la cruz",,
60229,"D.C. Heath & co.","Victoria y otros cuentos",,
60231,"Fernando Fe","Drama que se titula Golondrinas",,
60232,"Sociedad General Española de Librería","El complejo de Edipo. Novela",,
60233,"Pueyo","En la selvática Bribonicia. Novela",,
60234,"Prensa Popular","Las tres hijas del maestro. Novela inédita",,
