clavy_id,"nombre","recursos","género","fechas asociadas al nombre"
61202,"Gili i Roig, Baldomer","2","Hombre","1873-1927"
61204,"Shelley, Percy Bysshe","1","Hombre","1792-1822"
61207,"Keats, John","1","Hombre","1795-1821"
61213,"Ruck, Berta","1","Mujer","1878-1978"
61216,"Merrel, Concordia","1","Mujer","1886-1963"
61217,"Calderón, A.","1",,
61220,"Velacoracho, Carmen","1","Mujer",
61221,"Rackham, Arthur","1","Hombre","1867-1939"
61223,"Escoriaza, Teresa de","2","Mujer",
61224,"Icaza, Carmen de","1","Mujer",
61227,"Vian Herrero, Ana","1","Mujer",
61230,"Acremant, Germaine","1","Mujer","1889-1986"
61238,"Bagaría, Luis","1","Hombre","1882-1940"
61240,"Fernández Mota, Fernando","1","Hombre",
61241,"Lázaro Ros, Amando","1","Hombre","1886-1962"
61245,"Frank, Waldo David","2","Hombre","1889-1967"
61246,"Hernández Villaescusa, Modesto","1","Hombre","1869-1936"
61247,"Xaudaró, Joaquín","1","Hombre","1872-1933"
61248,"Franco, José María",0,"Hombre","1894-1971"
61249,"Mestre Moragas, Alberto","1",,"1896-1973"
61251,"Hortelano","1",,
61252,"Portero, Antonio",0,"Hombre",
61256,"Wells, H. G.","1","Hombre","1866-1946"
61257,"Arrufat Mestres, José","1","Hombre","1869-1913"
61259,"Coello, Carlos","1","Hombre","1850-1888"
61261,"Theotocopuli, Domenico","1","Hombre","1541-1614"
61263,"M., D. F. de","1",,
61264,"Cabas, José","1","Hombre","1879-1942"
61267,"Austen, Jane","1","Mujer","1775-1817"
61268,"Ors, Eugenio d'","27","Hombre","1881-1954"
61269,"Butler, Marilyn","1","Mujer","1937-2014"
61272,"Valdés, Juan de","1","Hombre","d. 1541"
61276,"Broun, May Heywood","1","Mujer",
61277,"Villalón, Cristóbal de","1","Hombre",
61280,"Arteta, Aurelio","1","Hombre","1879-1940"
61282,"López de Gomara, Justo","1","Hombre","1859-1923"
61283,"Lampérez y Romea, Vicente","1","Hombre","1861-1923"
61286,"Jaime I de Aragón","1","Hombre","1213-1276"
61287,"Grassi, Ángela","3","Mujer","1823-1883"
61288,"Arias Rodríguez del Valle, David","1","Hombre","1890-1975"
61289,"Maragall, Joan","1","Hombre","1860-1911"
61292,"Hervás y Panduro, Lorenzo","1",,
61298,"López, José Florencio","1","Hombre",
61303,"Leoz, Melitón","1","Hombre",
61304,"Carranza, Venustiano","1","Hombre","1859-1920"
61306,"Borbón, Paz de, Infanta de España","2","Mujer","1862-1946"
61307,"Calvo Roselló, Miguel","1","Hombre",
61308,"Albéniz, Laura","2","Mujer","1890-1944"
61311,"Teresa de Jesús, Santa","2","Mujer","1515-1582"
61312,"Bayo, Ciro","19","Hombre","1860-1939"
61314,"Gómez y Jalón, Pablo","1","Hombre","1842-?"
61316,"Borrás, Tomás","1","Hombre","1891-1976"
61317,"Gabaldón, Luis","1","Hombre","1869-1939"
